year,team,player,prior_season,prior_season_end_owner,end_of_season_eligible,end_of_season_eligibility,prior_ownership_confidence,prior_ownership_evidence,round_kept_in,keeper_status,acquisition_basis,rule_status
2022,Post Mahomes,Cam Akers,2021,Post Mahomes,True,Eligible — Held at End of Prior Season,Transaction Reconstruction,Draft + transactions; snapshot owner=none,11,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2022,The Big Gronkowski,Cooper Kupp,2021,The Big Gronkowski,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot,2,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2022,ThreatLevelMidnight,Elijah Mitchell,2021,ThreatLevelMidnight,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot,10,1st-Year Keeper,Waiver / Free Agent,Matches Keeper Rule
2022,Uncle Rico,Ja'Marr Chase,2021,Uncle Rico,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot,6,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2022,Voldemort,Justin Jefferson,2021,Voldemort,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot,10,2nd-Year Keeper — Final Year,Prior Keeper,Matches Keeper Rule
2022,malle_dips_pouches,James Conner,2021,malle_dips_pouches,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot,6,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2023,Buttermilk Puuump,Amon-Ra St. Brown,2022,Big Sack Jack,False,INELIGIBLE — Different End-of-Season Owner,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot,4,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2023,Ginger FC,Aaron Rodgers,2022,Ginger FC,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot,9,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2023,Joe Mantegna,James Cook III,2022,Joe Mantegna,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot,8,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2023,Malle ❤️ 🐸,Jalen Hurts,2022,Malle ❤️ 🐸,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot,5,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2023,Patty Primetimes,Travis Etienne Jr.,2022,Patty Primetimes,True,Eligible — Held at End of Prior Season,Transaction Reconstruction,Draft + transactions; snapshot owner=none,13,2nd-Year Keeper — Final Year,Prior Keeper,Matches Keeper Rule
2023,Pop Lockett Drop it,Justin Fields,2022,Pop Lockett Drop it,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot,14,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2023,Post Mahomes,Garrett Wilson,2022,Post Mahomes,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot,10,1st-Year Keeper,Waiver / Free Agent,Matches Keeper Rule
2023,The Big Gronkowski,Tony Pollard,2022,The Big Gronkowski,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot,6,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2023,ThreatLevelMidnight,Calvin Ridley,2022,ThreatLevelMidnight,True,Eligible — Held at End of Prior Season,Transaction Reconstruction,Draft + transactions; snapshot owner=none,10,1st-Year Keeper,Waiver / Free Agent,Matches Keeper Rule
2023,Uncle Rico,Ja'Marr Chase,2022,Uncle Rico,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot,5,2nd-Year Keeper — Final Year,Prior Keeper,Matches Keeper Rule
2023,Voldemort,Christian Watson,2022,Voldemort,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot,10,1st-Year Keeper,Waiver / Free Agent,Matches Keeper Rule
2023,malle_dips_pouches,Amari Cooper,2022,malle_dips_pouches,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot,6,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2024,Buttermilk Puuump,Amon-Ra St. Brown,2023,Buttermilk Puuump,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot,3,2nd-Year Keeper — Final Year,Prior Keeper,Matches Keeper Rule
2024,Ginger FC,De'Von Achane,2023,Ginger FC,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot,10,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2024,Joe Mantegna,Breece Hall,2023,Joe Mantegna,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot,2,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2024,Malle ❤️ 🐸,Adam Thielen,2023,Malle ❤️ 🐸,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot,10,1st-Year Keeper,Prior Draft,Historical Round Exception
2024,Patty Primetimes,Anthony Richardson Sr.,2023,Patty Primetimes,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot,10,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2024,Pop Lockett Drop it,C.J. Stroud,2023,Pop Lockett Drop it,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot,10,1st-Year Keeper,Waiver / Free Agent,Matches Keeper Rule
2024,Post Mahomes,Kyren Williams,2023,Post Mahomes,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot,10,1st-Year Keeper,Waiver / Free Agent,Matches Keeper Rule
2024,ThreatLevelMidnight,Sam LaPorta,2023,ThreatLevelMidnight,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot,10,1st-Year Keeper,Waiver / Free Agent,Matches Keeper Rule
2024,Uncle Rico,Tank Dell,2023,Uncle Rico,True,Eligible — Held at End of Prior Season,Transaction Reconstruction,Draft + transactions; snapshot owner=none,10,1st-Year Keeper,Waiver / Free Agent,Matches Keeper Rule
2024,Voldemort,Puka Nacua,2023,Voldemort,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot,10,1st-Year Keeper,Waiver / Free Agent,Matches Keeper Rule
2025,Buttermilk Puuump,Amon-Ra St. Brown,2024,Buttermilk Puuump,True,Eligible — Held at End of Prior Season,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=The Big Gronkowski,2,Keeper Limit Exception,Prior Keeper,Matches Keeper Rule
2025,Ginger FC,De'Von Achane,2024,Ginger FC,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot,9,2nd-Year Keeper — Final Year,Prior Keeper,Matches Keeper Rule
2025,Joe Mantegna,Malik Nabers,2024,Malle ❤️ 🐸,False,INELIGIBLE — Different End-of-Season Owner,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=malle_dips_pouches,3,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2025,Malle ❤️ 🐸,Rashid Shaheed,2024,Malle ❤️ 🐸,True,Eligible — Held at End of Prior Season,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=Patty Primetimes,10,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2025,Patty Primetimes,Ladd McConkey,2024,Patty Primetimes,True,Eligible — Held at End of Prior Season,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=Malle ❤️ 🐸,8,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2025,Pop Lockett Drop it,Trey McBride,2024,Pop Lockett Drop it,True,Eligible — Held at End of Prior Season,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=Uncle Rico,4,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2025,Post Mahomes,Kyren Williams,2024,Post Mahomes,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot,9,2nd-Year Keeper — Final Year,Prior Keeper,Matches Keeper Rule
2025,ThreatLevelMidnight,Xavier Worthy,2024,ThreatLevelMidnight,True,Eligible — Held at End of Prior Season,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=Malle ❤️ 🐸,6,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2025,Uncle Rico,Zach Charbonnet,2024,Uncle Rico,True,Eligible — Held at End of Prior Season,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=Pop Lockett Drop it,10,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2025,Voldemort,Puka Nacua,2024,Voldemort,True,Eligible — Held at End of Prior Season,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=ThreatLevelMidnight,9,2nd-Year Keeper — Final Year,Prior Keeper,Matches Keeper Rule
2025,malle_dips_pouches,Sam LaPorta,2024,malle_dips_pouches,True,Eligible — Held at End of Prior Season,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=Joe Mantegna,9,2nd-Year Keeper — Final Year,Prior Keeper,Matches Keeper Rule
