keeper_year,team,player,eligible,eligibility_status,keeper_round,keeper_number,keeper_status,acquisition_basis,prior_year_round,prior_was_keeper,prior_draft_team,waiver_acquisition_type,waiver_acquisition_date,end_of_prior_season_owner,ownership_confidence,ownership_evidence
2026,Buttermilk Puuump,Kyle Pitts Sr.,True,Eligible — Round 10,10.0,1,1st-Year Keeper,Waiver / Free Agent,,False,,Free Agent,"Sep 17, 7:35 pm",Buttermilk Puuump,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=Uncle Rico
2026,Buttermilk Puuump,Titans,True,Eligible — Round 10,10.0,1,1st-Year Keeper,Waiver / Free Agent,,False,,Free Agent,"Dec 4, 8:13 pm",Buttermilk Puuump,Transaction Reconstruction,Draft + transactions; snapshot owner=none
2026,Buttermilk Puuump,Jordan Love,True,Eligible — Round 12,12.0,1,1st-Year Keeper,Prior Draft,13.0,False,Buttermilk Puuump,,,Buttermilk Puuump,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=Uncle Rico
2026,Buttermilk Puuump,Chris Boswell,True,Eligible — Round 14,14.0,1,1st-Year Keeper,Prior Draft,15.0,False,Voldemort,,,Buttermilk Puuump,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=Uncle Rico
2026,Buttermilk Puuump,Amon-Ra St. Brown,False,Ineligible — Keeper Limit Exhausted,1.0,4,Must Return to Draft Pool,Prior Keeper,2.0,True,Buttermilk Puuump,,,Buttermilk Puuump,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=Uncle Rico
2026,Buttermilk Puuump,Rams - DEF,False,Ineligible — Cannot Determine Keeper Round,,1,1st-Year Keeper,Unknown,,False,,,,Buttermilk Puuump,Snapshot Only,Final regular-season roster snapshot (Week 14)
2026,Ginger FC,Derrick Henry,True,Eligible — Round 1,1.0,1,1st-Year Keeper,Prior Draft,1.0,False,Ginger FC,,,Ginger FC,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=malle_dips_pouches
2026,Ginger FC,Davante Adams,True,Eligible — Round 2,2.0,1,1st-Year Keeper,Prior Draft,3.0,False,Ginger FC,,,Ginger FC,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=malle_dips_pouches
2026,Ginger FC,DeVonta Smith,True,Eligible — Round 3,3.0,1,1st-Year Keeper,Prior Draft,4.0,False,Ginger FC,,,Ginger FC,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=malle_dips_pouches
2026,Ginger FC,Jayden Daniels,True,Eligible — Round 3,3.0,1,1st-Year Keeper,Prior Draft,4.0,False,Malle ❤️ 🐸,,,Ginger FC,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=malle_dips_pouches
2026,Ginger FC,Mark Andrews,True,Eligible — Round 4,4.0,1,1st-Year Keeper,Prior Draft,5.0,False,Ginger FC,,,Ginger FC,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=malle_dips_pouches
2026,Ginger FC,Chris Olave,True,Eligible — Round 5,5.0,1,1st-Year Keeper,Prior Draft,6.0,False,Ginger FC,,,Ginger FC,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=malle_dips_pouches
2026,Ginger FC,Travis Etienne Jr.,True,Eligible — Round 6,6.0,1,1st-Year Keeper,Prior Draft,7.0,False,Ginger FC,,,Ginger FC,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=malle_dips_pouches
2026,Ginger FC,Michael Pittman Jr.,True,Eligible — Round 7,7.0,1,1st-Year Keeper,Prior Draft,8.0,False,Ginger FC,,,Ginger FC,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=malle_dips_pouches
2026,Ginger FC,Justin Herbert,True,Eligible — Round 9,9.0,1,1st-Year Keeper,Prior Draft,10.0,False,Ginger FC,,,Ginger FC,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=malle_dips_pouches
2026,Ginger FC,Jaxson Dart,True,Eligible — Round 10,10.0,1,1st-Year Keeper,Waiver / Free Agent,,False,,Free Agent,"Dec 18, 2:14 pm",Ginger FC,Transaction Reconstruction,Draft + transactions; snapshot owner=none
2026,Ginger FC,Juwan Johnson,True,Eligible — Round 10,10.0,1,1st-Year Keeper,Waiver / Free Agent,,False,,Waiver,"Sep 17, 4:40 am",Ginger FC,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=malle_dips_pouches
2026,Ginger FC,Saints,True,Eligible — Round 10,10.0,1,1st-Year Keeper,Waiver / Free Agent,,False,,Free Agent,"Dec 18, 2:15 pm",Ginger FC,Transaction Reconstruction,Draft + transactions; snapshot owner=none
2026,Ginger FC,Trey Benson,True,Eligible — Round 10,10.0,1,1st-Year Keeper,Prior Draft,11.0,False,Ginger FC,,,Ginger FC,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=malle_dips_pouches
2026,Ginger FC,Marvin Mims Jr.,True,Eligible — Round 12,12.0,1,1st-Year Keeper,Prior Draft,13.0,False,Ginger FC,,,Ginger FC,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=malle_dips_pouches
2026,Ginger FC,Chase McLaughlin,True,Eligible — Round 14,14.0,1,1st-Year Keeper,Prior Draft,15.0,False,ThreatLevelMidnight,,,Ginger FC,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=malle_dips_pouches
2026,Ginger FC,De'Von Achane,False,Ineligible — Keeper Limit Exhausted,8.0,3,Must Return to Draft Pool,Prior Keeper,9.0,True,Ginger FC,,,Ginger FC,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=malle_dips_pouches
2026,Ginger FC,Ravens - DEF,False,Ineligible — Cannot Determine Keeper Round,,1,1st-Year Keeper,Unknown,,False,,,,Ginger FC,Snapshot Only,Final regular-season roster snapshot (Week 14)
2026,Joe Mantegna,Ja'Marr Chase,True,Eligible — Round 1,1.0,1,1st-Year Keeper,Prior Draft,1.0,False,Joe Mantegna,,,Joe Mantegna,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=The Big Gronkowski
2026,Joe Mantegna,Omarion Hampton,True,Eligible — Round 1,1.0,1,1st-Year Keeper,Prior Draft,2.0,False,Joe Mantegna,,,Joe Mantegna,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=The Big Gronkowski
2026,Joe Mantegna,RJ Harvey,True,Eligible — Round 3,3.0,1,1st-Year Keeper,Prior Draft,4.0,False,Joe Mantegna,,,Joe Mantegna,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=The Big Gronkowski
2026,Joe Mantegna,Tony Pollard,True,Eligible — Round 3,3.0,1,1st-Year Keeper,Prior Draft,4.0,False,ThreatLevelMidnight,,,Joe Mantegna,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=The Big Gronkowski
2026,Joe Mantegna,Zay Flowers,True,Eligible — Round 4,4.0,1,1st-Year Keeper,Prior Draft,5.0,False,Joe Mantegna,,,Joe Mantegna,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=The Big Gronkowski
2026,Joe Mantegna,Bo Nix,True,Eligible — Round 6,6.0,1,1st-Year Keeper,Prior Draft,7.0,False,Joe Mantegna,,,Joe Mantegna,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=The Big Gronkowski
2026,Joe Mantegna,Brock Purdy,True,Eligible — Round 7,7.0,1,1st-Year Keeper,Prior Draft,8.0,False,Malle ❤️ 🐸,,,Joe Mantegna,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=The Big Gronkowski
2026,Joe Mantegna,Jauan Jennings,True,Eligible — Round 7,7.0,1,1st-Year Keeper,Prior Draft,8.0,False,Joe Mantegna,,,Joe Mantegna,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=The Big Gronkowski
2026,Joe Mantegna,Jacory Croskey-Merritt,True,Eligible — Round 8,8.0,1,1st-Year Keeper,Prior Draft,9.0,False,Joe Mantegna,,,Joe Mantegna,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=The Big Gronkowski
2026,Joe Mantegna,Tyler Warren,True,Eligible — Round 9,9.0,1,1st-Year Keeper,Prior Draft,10.0,False,Joe Mantegna,,,Joe Mantegna,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=The Big Gronkowski
2026,Joe Mantegna,Devin Singletary,True,Eligible — Round 10,10.0,1,1st-Year Keeper,Waiver / Free Agent,,False,,Free Agent,"Nov 19, 6:17 pm",Joe Mantegna,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=The Big Gronkowski
2026,Joe Mantegna,Quentin Johnston,True,Eligible — Round 10,10.0,1,1st-Year Keeper,Waiver / Free Agent,,False,,Waiver,"Sep 10, 4:49 am",Joe Mantegna,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=The Big Gronkowski
2026,Joe Mantegna,Wan'Dale Robinson,True,Eligible — Round 10,10.0,1,1st-Year Keeper,Waiver / Free Agent,,False,,Waiver,"Sep 17, 4:40 am",Joe Mantegna,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=The Big Gronkowski
2026,Joe Mantegna,Brandon Aubrey,True,Eligible — Round 12,12.0,1,1st-Year Keeper,Prior Draft,13.0,False,Joe Mantegna,,,Joe Mantegna,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=The Big Gronkowski
2026,Joe Mantegna,Bills,True,Eligible — Round 13,13.0,1,1st-Year Keeper,Prior Draft,14.0,False,ThreatLevelMidnight,,,Joe Mantegna,Transaction Reconstruction,Draft + transactions; snapshot owner=none
2026,Joe Mantegna,Browns - DEF,False,Ineligible — Cannot Determine Keeper Round,,1,1st-Year Keeper,Unknown,,False,,,,Joe Mantegna,Snapshot Only,Final regular-season roster snapshot (Week 14)
2026,Malle ❤️ 🐸,Brian Thomas Jr.,True,Eligible — Round 1,1.0,1,1st-Year Keeper,Prior Draft,2.0,False,Malle ❤️ 🐸,,,Malle ❤️ 🐸,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot
2026,Malle ❤️ 🐸,Drake London,True,Eligible — Round 1,1.0,1,1st-Year Keeper,Prior Draft,1.0,False,Malle ❤️ 🐸,,,Malle ❤️ 🐸,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot
2026,Malle ❤️ 🐸,George Kittle,True,Eligible — Round 2,2.0,1,1st-Year Keeper,Prior Draft,3.0,False,Malle ❤️ 🐸,,,Malle ❤️ 🐸,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot
2026,Malle ❤️ 🐸,D'Andre Swift,True,Eligible — Round 4,4.0,1,1st-Year Keeper,Prior Draft,5.0,False,Malle ❤️ 🐸,,,Malle ❤️ 🐸,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot
2026,Malle ❤️ 🐸,Isiah Pacheco,True,Eligible — Round 5,5.0,1,1st-Year Keeper,Prior Draft,6.0,False,Malle ❤️ 🐸,,,Malle ❤️ 🐸,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot
2026,Malle ❤️ 🐸,Jordan Addison,True,Eligible — Round 6,6.0,1,1st-Year Keeper,Prior Draft,7.0,False,Malle ❤️ 🐸,,,Malle ❤️ 🐸,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot
2026,Malle ❤️ 🐸,Bhayshul Tuten,True,Eligible — Round 8,8.0,1,1st-Year Keeper,Prior Draft,9.0,False,Uncle Rico,,,Malle ❤️ 🐸,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot
2026,Malle ❤️ 🐸,Khalil Shakir,True,Eligible — Round 8,8.0,1,1st-Year Keeper,Prior Draft,9.0,False,Malle ❤️ 🐸,,,Malle ❤️ 🐸,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot
2026,Malle ❤️ 🐸,Rashid Shaheed,True,Eligible — Round 9,9.0,2,2nd-Year Keeper — Final Year,Prior Keeper,10.0,True,Malle ❤️ 🐸,,,Malle ❤️ 🐸,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot
2026,Malle ❤️ 🐸,Dallas Goedert,True,Eligible — Round 10,10.0,1,1st-Year Keeper,Prior Draft,11.0,False,Malle ❤️ 🐸,,,Malle ❤️ 🐸,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot
2026,Malle ❤️ 🐸,Dalton Schultz,True,Eligible — Round 10,10.0,1,1st-Year Keeper,Waiver / Free Agent,,False,,Free Agent,"Sep 12, 2:59 pm",Malle ❤️ 🐸,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot
2026,Malle ❤️ 🐸,Jaguars,True,Eligible — Round 10,10.0,1,1st-Year Keeper,Waiver / Free Agent,,False,,Free Agent,"Oct 29, 11:12 pm",Malle ❤️ 🐸,Transaction Reconstruction,Draft + transactions; snapshot owner=none
2026,Malle ❤️ 🐸,Marcus Mariota,True,Eligible — Round 10,10.0,1,1st-Year Keeper,Waiver / Free Agent,,False,,Free Agent,"Nov 9, 8:31 am",Malle ❤️ 🐸,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot
2026,Malle ❤️ 🐸,Trevor Lawrence,True,Eligible — Round 13,13.0,1,1st-Year Keeper,Prior Draft,14.0,False,Joe Mantegna,,,Malle ❤️ 🐸,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot
2026,Malle ❤️ 🐸,Harrison Butker,True,Eligible — Round 14,14.0,1,1st-Year Keeper,Prior Draft,15.0,False,Post Mahomes,,,Malle ❤️ 🐸,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot
2026,Malle ❤️ 🐸,Jaguars - DEF,False,Ineligible — Cannot Determine Keeper Round,,1,1st-Year Keeper,Unknown,,False,,,,Malle ❤️ 🐸,Snapshot Only,Final regular-season roster snapshot (Week 14)
2026,Patty Primetimes,Josh Allen,True,Eligible — Round 1,1.0,1,1st-Year Keeper,Prior Draft,2.0,False,Patty Primetimes,,,Patty Primetimes,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=ThreatLevelMidnight
2026,Patty Primetimes,Saquon Barkley,True,Eligible — Round 1,1.0,1,1st-Year Keeper,Prior Draft,1.0,False,Patty Primetimes,,,Patty Primetimes,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=ThreatLevelMidnight
2026,Patty Primetimes,James Cook III,True,Eligible — Round 2,2.0,1,1st-Year Keeper,Prior Draft,3.0,False,Patty Primetimes,,,Patty Primetimes,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=ThreatLevelMidnight
2026,Patty Primetimes,Courtland Sutton,True,Eligible — Round 4,4.0,1,1st-Year Keeper,Prior Draft,5.0,False,Patty Primetimes,,,Patty Primetimes,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=ThreatLevelMidnight
2026,Patty Primetimes,Travis Kelce,True,Eligible — Round 5,5.0,1,1st-Year Keeper,Prior Draft,6.0,False,Patty Primetimes,,,Patty Primetimes,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=ThreatLevelMidnight
2026,Patty Primetimes,J.K. Dobbins,True,Eligible — Round 6,6.0,1,1st-Year Keeper,Prior Draft,7.0,False,Patty Primetimes,,,Patty Primetimes,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=ThreatLevelMidnight
2026,Patty Primetimes,Ladd McConkey,True,Eligible — Round 7,7.0,2,2nd-Year Keeper — Final Year,Prior Keeper,8.0,True,Patty Primetimes,,,Patty Primetimes,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=ThreatLevelMidnight
2026,Patty Primetimes,AJ Barner,True,Eligible — Round 10,10.0,1,1st-Year Keeper,Waiver / Free Agent,,False,,Waiver,"Dec 24, 3:33 am",Patty Primetimes,Transaction Reconstruction,Draft + transactions; snapshot owner=none
2026,Patty Primetimes,Alec Pierce,True,Eligible — Round 10,10.0,1,1st-Year Keeper,Waiver / Free Agent,,False,,Waiver,"Dec 24, 3:33 am",Patty Primetimes,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot
2026,Patty Primetimes,Brenton Strange,True,Eligible — Round 10,10.0,1,1st-Year Keeper,Waiver / Free Agent,,False,,Waiver,"Dec 24, 3:33 am",Patty Primetimes,Transaction Reconstruction,Draft + transactions; snapshot owner=none
2026,Patty Primetimes,Chimere Dike,True,Eligible — Round 10,10.0,1,1st-Year Keeper,Waiver / Free Agent,,False,,Waiver,"Dec 10, 3:39 am",Patty Primetimes,Transaction Reconstruction,Draft + transactions; snapshot owner=none
2026,Patty Primetimes,Parker Washington,True,Eligible — Round 10,10.0,1,1st-Year Keeper,Waiver / Free Agent,,False,,Waiver,"Nov 19, 3:47 am",Patty Primetimes,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=ThreatLevelMidnight
2026,Patty Primetimes,Theo Johnson,True,Eligible — Round 10,10.0,1,1st-Year Keeper,Waiver / Free Agent,,False,,Free Agent,"Dec 18, 2:20 pm",Patty Primetimes,Transaction Reconstruction,Draft + transactions; snapshot owner=none
2026,Patty Primetimes,Caleb Williams,True,Eligible — Round 11,11.0,1,1st-Year Keeper,Prior Draft,12.0,False,Patty Primetimes,,,Patty Primetimes,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=ThreatLevelMidnight
2026,Patty Primetimes,Cameron Dicker,True,Eligible — Round 12,12.0,1,1st-Year Keeper,Prior Draft,13.0,False,Patty Primetimes,,,Patty Primetimes,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=ThreatLevelMidnight
2026,Patty Primetimes,Texans,True,Eligible — Round 14,14.0,1,1st-Year Keeper,Prior Draft,15.0,False,Patty Primetimes,,,Patty Primetimes,Transaction Reconstruction,Draft + transactions; snapshot owner=none
2026,Patty Primetimes,Buccaneers - DEF,False,Ineligible — Cannot Determine Keeper Round,,1,1st-Year Keeper,Unknown,,False,,,,Patty Primetimes,Snapshot Only,Final regular-season roster snapshot (Week 14)
2026,Pop Lockett Drop it,CeeDee Lamb,True,Eligible — Round 1,1.0,1,1st-Year Keeper,Prior Draft,1.0,False,Pop Lockett Drop it,,,Pop Lockett Drop it,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot
2026,Pop Lockett Drop it,Kenneth Walker III,True,Eligible — Round 1,1.0,1,1st-Year Keeper,Prior Draft,2.0,False,Pop Lockett Drop it,,,Pop Lockett Drop it,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot
2026,Pop Lockett Drop it,Lamar Jackson,True,Eligible — Round 2,2.0,1,1st-Year Keeper,Prior Draft,3.0,False,Pop Lockett Drop it,,,Pop Lockett Drop it,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot
2026,Pop Lockett Drop it,Trey McBride,True,Eligible — Round 3,3.0,2,2nd-Year Keeper — Final Year,Prior Keeper,4.0,True,Pop Lockett Drop it,,,Pop Lockett Drop it,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot
2026,Pop Lockett Drop it,Tetairoa McMillan,True,Eligible — Round 4,4.0,1,1st-Year Keeper,Prior Draft,5.0,False,Pop Lockett Drop it,,,Pop Lockett Drop it,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=Post Mahomes
2026,Pop Lockett Drop it,Rome Odunze,True,Eligible — Round 6,6.0,1,1st-Year Keeper,Prior Draft,7.0,False,Pop Lockett Drop it,,,Pop Lockett Drop it,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot
2026,Pop Lockett Drop it,Javonte Williams,True,Eligible — Round 7,7.0,1,1st-Year Keeper,Prior Draft,8.0,False,Pop Lockett Drop it,,,Pop Lockett Drop it,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot
2026,Pop Lockett Drop it,Bam Knight,True,Eligible — Round 10,10.0,1,1st-Year Keeper,Waiver / Free Agent,,False,,Free Agent,"Nov 19, 10:20 am",Pop Lockett Drop it,Snapshot Only,Final regular-season roster snapshot (Week 14)
2026,Pop Lockett Drop it,Devin Neal,True,Eligible — Round 10,10.0,1,1st-Year Keeper,Waiver / Free Agent,,False,,Waiver,"Nov 26, 3:41 am",Pop Lockett Drop it,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot
2026,Pop Lockett Drop it,Kareem Hunt,True,Eligible — Round 10,10.0,1,1st-Year Keeper,Waiver / Free Agent,,False,,Free Agent,"Sep 11, 2:20 pm",Pop Lockett Drop it,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot
2026,Pop Lockett Drop it,Matthew Stafford,True,Eligible — Round 10,10.0,1,1st-Year Keeper,Waiver / Free Agent,,False,,Waiver,"Oct 1, 5:01 am",Pop Lockett Drop it,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot
2026,Pop Lockett Drop it,Seahawks,True,Eligible — Round 10,10.0,1,1st-Year Keeper,Waiver / Free Agent,,False,,Waiver,"Nov 19, 3:47 am",Pop Lockett Drop it,Transaction Reconstruction,Draft + transactions; snapshot owner=none
2026,Pop Lockett Drop it,Troy Franklin,True,Eligible — Round 10,10.0,1,1st-Year Keeper,Waiver / Free Agent,,False,,Waiver,"Sep 17, 4:40 am",Pop Lockett Drop it,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot
2026,Pop Lockett Drop it,Tyler Loop,True,Eligible — Round 10,10.0,1,1st-Year Keeper,Waiver / Free Agent,,False,,Free Agent,"Nov 12, 10:31 am",Pop Lockett Drop it,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot
2026,Pop Lockett Drop it,Jayden Higgins,True,Eligible — Round 11,11.0,1,1st-Year Keeper,Prior Draft,12.0,False,Joe Mantegna,,,Pop Lockett Drop it,Transaction Reconstruction,Draft + transactions; snapshot owner=none
2026,Pop Lockett Drop it,Seahawks - DEF,False,Ineligible — Cannot Determine Keeper Round,,1,1st-Year Keeper,Unknown,,False,,,,Pop Lockett Drop it,Snapshot Only,Final regular-season roster snapshot (Week 14)
2026,Post Mahomes,Brock Bowers,True,Eligible — Round 1,1.0,1,1st-Year Keeper,Prior Draft,2.0,False,Post Mahomes,,,Post Mahomes,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot
2026,Post Mahomes,Jahmyr Gibbs,True,Eligible — Round 1,1.0,1,1st-Year Keeper,Prior Draft,1.0,False,Post Mahomes,,,Post Mahomes,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot
2026,Post Mahomes,Tee Higgins,True,Eligible — Round 2,2.0,1,1st-Year Keeper,Prior Draft,3.0,False,Post Mahomes,,,Post Mahomes,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=Pop Lockett Drop it
2026,Post Mahomes,Garrett Wilson,True,Eligible — Round 3,3.0,1,1st-Year Keeper,Prior Draft,4.0,False,Post Mahomes,,,Post Mahomes,Snapshot Only,Final regular-season roster snapshot (Week 14)
2026,Post Mahomes,Patrick Mahomes,True,Eligible — Round 4,4.0,1,1st-Year Keeper,Prior Draft,5.0,False,Post Mahomes,,,Post Mahomes,Snapshot Only,Final regular-season roster snapshot (Week 14)
2026,Post Mahomes,Ricky Pearsall,True,Eligible — Round 5,5.0,1,1st-Year Keeper,Prior Draft,6.0,False,Post Mahomes,,,Post Mahomes,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot
2026,Post Mahomes,Jordan Mason,True,Eligible — Round 6,6.0,1,1st-Year Keeper,Prior Draft,7.0,False,Post Mahomes,,,Post Mahomes,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=Pop Lockett Drop it
2026,Post Mahomes,Rhamondre Stevenson,True,Eligible — Round 8,8.0,1,1st-Year Keeper,Prior Draft,9.0,False,ThreatLevelMidnight,,,Post Mahomes,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=Patty Primetimes
2026,Post Mahomes,Cam Skattebo,True,Eligible — Round 9,9.0,1,1st-Year Keeper,Prior Draft,10.0,False,Post Mahomes,,,Post Mahomes,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot
2026,Post Mahomes,Adonai Mitchell,True,Eligible — Round 10,10.0,1,1st-Year Keeper,Waiver / Free Agent,,False,,Free Agent,"Dec 3, 6:41 am",Post Mahomes,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot
2026,Post Mahomes,Blake Corum,True,Eligible — Round 10,10.0,1,1st-Year Keeper,Waiver / Free Agent,,False,,Waiver,"Dec 3, 4:06 am",Post Mahomes,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot
2026,Post Mahomes,Chris Godwin Jr.,True,Eligible — Round 10,10.0,1,1st-Year Keeper,Prior Draft,11.0,False,Post Mahomes,,,Post Mahomes,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot
2026,Post Mahomes,Darren Waller,True,Eligible — Round 10,10.0,1,1st-Year Keeper,Waiver / Free Agent,,False,,Free Agent,"Dec 25, 5:13 pm",Post Mahomes,Transaction Reconstruction,Draft + transactions; snapshot owner=none
2026,Post Mahomes,Kimani Vidal,True,Eligible — Round 10,10.0,1,1st-Year Keeper,Waiver / Free Agent,,False,,Free Agent,"Oct 8, 2:34 am",Post Mahomes,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot
