year,team,games,wins,points_for,points_against,losses,win_pct,points_per_game,scoring_rank,win_rank,actual_points,optimal_points,points_left_on_bench,avg_weekly_points_left,avoidable_starts,season_efficiency_pct,efficiency_rank,rated_picks,avg_draft_value,total_draft_value,steals,elite_steals,busts,major_busts,draft_class_rank,meaningful_acquisitions,avg_waiver_value,total_positive_value,good_rate,elite_finds,bust_rate,production_points,waiver_rank,is_champion,scoring_percentile,winning_percentile,efficiency_percentile,bench_management_percentile,draft_percentile,waiver_percentile,lineup_index,draft_index,waiver_index,fully_measured,management_index,management_rank,extreme_type
2022,Voldemort,14,10.0,1744.96,1569.98,4.0,0.7142857142857143,124.64,1,1,1744.96,1903.66,158.7,11.34,23,91.66,2,11,-0.6905397532111611,-7.595937285322773,1,0,1,1,7,7.0,17.133200133200127,163.39393939393938,57.14285714285714,1.0,0.0,399.3200000000001,5.0,False,100.0,95.83333333333334,91.66666666666666,66.66666666666666,50.0,66.66666666666666,91.66666666666666,50.0,66.66666666666666,True,75.0,2.0,Best Management Season
2017,malle_dips_pouches,13,7.0,1228.02,1106.42,6.0,0.5384615384615384,94.46307692307693,4,5,1228.02,1410.04,182.02,14.0,25,87.09,6,13,3.552986405174846,46.188823267272994,1,0,1,0,3,3.0,34.07342657342658,102.22027972027972,100.0,0.0,0.0,227.34,1.0,False,75.0,62.5,58.333333333333336,50.0,83.33333333333334,100.0,58.333333333333336,83.33333333333334,100.0,True,75.0,2.0,Best Management Season
2023,ThreatLevelMidnight,14,10.0,1672.46,1458.34,4.0,0.7142857142857143,119.46142857142856,1,2,1672.46,1879.14,206.68,14.76,24,89.0,6,12,8.698816893311793,104.38580271974152,3,1,1,1,1,6.0,19.9905303030303,154.93055555555554,50.0,2.0,0.0,527.6,3.0,False,100.0,91.66666666666666,58.333333333333336,41.66666666666667,100.0,83.33333333333334,58.333333333333336,100.0,83.33333333333334,True,75.0,2.0,Best Management Season
2020,Joe Mantegna,13,7.0,1388.14,1429.74,6.0,0.5384615384615384,106.78,10,6,1388.14,1512.22,124.08,9.54,19,91.79,2,12,1.0849783228806913,13.019739874568296,1,0,2,0,3,5.0,1.0800286669851886,53.92857142857143,20.0,1.0,0.0,144.52,9.0,False,25.0,58.333333333333336,91.66666666666666,91.66666666666666,83.33333333333334,33.33333333333333,91.66666666666666,83.33333333333334,33.33333333333333,True,74.99999999999999,3.0,Best Management Season
2021,Malle ❤️ 🐸,14,11.0,1586.24,1371.46,3.0,0.7857142857142857,113.30285714285716,6,1,1586.24,1746.2,159.96,11.43,21,90.84,6,12,2.0323176571746537,24.387811886095847,3,0,2,1,4,2.0,24.787234042553195,49.57446808510639,50.0,0.0,0.0,113.1,1.0,False,58.333333333333336,95.83333333333334,58.333333333333336,41.66666666666667,75.0,100.0,58.333333333333336,75.0,100.0,True,72.91666666666667,3.0,Best Management Season
2019,Patty Primetimes,13,10.0,1473.08,1208.42,3.0,0.7692307692307693,113.31384615384614,1,2,1473.08,1595.54,122.46,9.42,19,92.32,1,13,3.1894171317818305,41.4624227131638,3,2,3,1,3,8.0,-3.4375000000000004,39.92424242424242,0.0,0.0,12.5,161.06,12.0,False,100.0,87.5,100.0,91.66666666666666,83.33333333333334,8.333333333333332,100.0,83.33333333333334,8.333333333333332,True,72.91666666666667,1.0,Best Management Season
2022,The Big Gronkowski,14,9.0,1585.04,1542.28,5.0,0.6428571428571429,113.21714285714286,4,3,1585.04,1754.86,169.82,12.13,21,90.32,5,11,6.821033525079908,75.03136877587899,2,0,1,1,4,3.0,21.968155500413573,65.90446650124072,33.33333333333333,0.0,0.0,214.86,3.0,False,75.0,83.33333333333334,66.66666666666666,41.66666666666667,75.0,83.33333333333334,66.66666666666666,75.0,83.33333333333334,True,72.91666666666666,3.0,Best Management Season
2019,Post Mahomes,13,8.0,1322.84,1289.78,5.0,0.6153846153846154,101.75692307692309,4,4,1322.84,1481.66,158.82,12.22,21,89.28,3,13,-3.3837781777386207,-43.98911631060207,3,0,2,1,9,8.0,28.4375,241.2878787878788,75.0,2.0,0.0,305.20000000000005,2.0,False,75.0,75.0,83.33333333333334,66.66666666666666,33.33333333333333,91.66666666666666,83.33333333333334,33.33333333333333,91.66666666666666,True,72.91666666666666,2.0,Best Management Season
2019,Pop Lockett Drop it,13,10.0,1361.3,1164.14,3.0,0.7692307692307693,104.7153846153846,3,2,1361.3,1591.96,230.66,17.74,24,85.51,8,12,12.910541395361491,154.9264967443379,2,1,0,0,1,4.0,35.91287878787879,143.65151515151516,75.0,2.0,0.0,214.38,1.0,False,83.33333333333334,87.5,41.66666666666667,16.666666666666664,100.0,100.0,41.66666666666667,100.0,100.0,True,70.83333333333334,3.0,Best Management Season
2019,Big Sack Jack,13,7.0,1303.94,1300.72,6.0,0.5384615384615384,100.30307692307692,5,5,1303.94,1416.54,112.6,8.66,16,92.05,2,13,-5.23941458875064,-68.11238965375833,0,0,3,0,10,5.0,12.87878787878788,85.98484848484848,40.0,0.0,0.0,131.98000000000002,4.0,False,66.66666666666666,62.5,91.66666666666666,100.0,25.0,75.0,91.66666666666666,25.0,75.0,True,70.83333333333333,4.0,Best Management Season
2019,ThreatLevelMidnight,13,7.0,1275.96,1276.72,6.0,0.5384615384615384,98.15076923076924,6,5,1275.96,1516.48,240.52,18.5,24,84.14,11,13,-10.052991161646656,-130.68888510140656,1,0,4,1,12,13.0,0.1212121212121213,189.86363636363637,23.076923076923077,1.0,23.076923076923077,321.52,10.0,False,58.333333333333336,62.5,16.666666666666664,8.333333333333332,8.333333333333332,25.0,16.666666666666664,8.333333333333332,25.0,True,16.666666666666664,12.0,Worst Management Season
2023,Uncle Rico,14,4.0,1374.4,1494.72,10.0,0.2857142857142857,98.17142857142858,11,11,1374.4,1641.44,267.04,19.07,27,83.73,12,12,-9.658459131069096,-115.90150957282916,0,0,1,0,10,8.0,8.099747474747476,125.25252525252526,37.5,1.0,0.0,521.76,8.0,False,16.666666666666664,12.5,8.333333333333332,8.333333333333332,25.0,41.66666666666667,8.333333333333332,25.0,41.66666666666667,True,20.833333333333336,12.0,Worst Management Season
2023,Ginger FC,14,4.0,1268.1,1472.12,10.0,0.2857142857142857,90.57857142857142,12,11,1268.1,1468.3,200.2,14.3,23,86.37,10,12,-21.56599334712526,-258.79192016550314,0,0,5,3,12,13.0,4.801795426795426,184.01064213564217,38.46153846153847,1.0,7.6923076923076925,793.8,9.0,False,8.333333333333332,12.5,25.0,50.0,8.333333333333332,33.33333333333333,25.0,8.333333333333332,33.33333333333333,True,22.916666666666664,11.0,Worst Management Season
2021,Big Sack Jack,14,3.0,1405.86,1671.22,11.0,0.2142857142857142,100.41857142857144,11,12,1405.86,1560.26,154.4,11.03,24,90.1,9,11,-11.431305049616713,-125.74435554578383,0,0,3,2,12,9.0,2.745668437157798,110.98807221147646,22.22222222222222,1.0,0.0,312.58,11.0,False,16.666666666666664,8.333333333333332,33.33333333333333,66.66666666666666,8.333333333333332,16.666666666666664,33.33333333333333,8.333333333333332,16.666666666666664,True,22.916666666666664,12.0,Worst Management Season
2017,Hello Harvard,13,5.0,1090.98,1177.94,8.0,0.3846153846153846,83.92153846153846,10,8,1090.98,1281.08,190.1,14.62,24,85.16,10,13,-5.988117103219292,-77.8455223418508,3,1,4,2,9,7.0,-4.199895342752485,33.25641025641026,0.0,0.0,0.0,88.10000000000001,12.0,False,25.0,33.33333333333333,25.0,25.0,33.33333333333333,8.333333333333332,25.0,33.33333333333333,8.333333333333332,True,22.916666666666664,12.0,Worst Management Season
2020,Uncle Rico,13,8.0,1397.84,1289.48,5.0,0.6153846153846154,107.52615384615385,9,3,1397.84,1606.14,208.3,16.02,20,87.03,10,12,-9.60697562185923,-115.28370746231076,1,0,5,3,10,7.0,-13.59095143073952,44.768907563025216,14.285714285714285,0.0,42.857142857142854,143.60000000000002,11.0,False,33.33333333333333,75.0,25.0,33.33333333333333,25.0,16.666666666666664,25.0,25.0,16.666666666666664,True,22.916666666666664,12.0,Worst Management Season
2024,The Big Gronkowski,14,9.0,1493.86,1417.5,5.0,0.6428571428571429,106.7042857142857,8,3,1515.64,1764.72,249.08,17.79,22,85.89,12,13,-7.375479668728318,-95.88123569346814,2,0,4,1,8,4.0,10.367127496159751,63.5652841781874,25.0,0.0,0.0,133.8,9.0,False,41.66666666666667,79.16666666666666,8.333333333333332,16.666666666666664,41.66666666666667,33.33333333333333,8.333333333333332,41.66666666666667,33.33333333333333,True,22.916666666666664,12.0,Worst Management Season
2020,Patty Primetimes,13,3.0,1264.36,1487.94,10.0,0.2307692307692307,97.25846153846152,12,11,1264.36,1550.34,285.98,22.0,34,81.55,12,12,0.3718318987770133,4.46198278532416,2,0,3,1,4,4.0,-19.97596153846154,29.711538461538453,25.0,0.0,50.0,77.6,12.0,False,8.333333333333332,12.5,8.333333333333332,8.333333333333332,75.0,8.333333333333332,8.333333333333332,75.0,8.333333333333332,True,24.999999999999996,11.0,Worst Management Season
2022,Post Mahomes,14,7.0,1380.72,1418.88,7.0,0.5,98.62285714285714,10,8,1380.72,1592.6,211.88,15.13,25,86.7,12,12,-2.7410972376021765,-32.89316685122612,0,0,1,0,8,11.0,13.819364408807225,225.08993157380252,45.45454545454545,1.0,9.090909090909092,420.98,7.0,False,25.0,41.66666666666667,8.333333333333332,8.333333333333332,41.66666666666667,50.0,8.333333333333332,41.66666666666667,50.0,True,27.083333333333336,12.0,Worst Management Season
2017,Dillon Panthers,13,4.0,1098.26,1103.26,9.0,0.3076923076923077,84.48153846153846,8,11,1098.26,1331.14,232.88,17.91,30,82.51,12,12,-14.093498559672376,-169.12198271606852,1,0,3,2,11,8.0,23.625,201.16666666666669,62.5,1.0,0.0,337.82,3.0,False,41.66666666666667,16.666666666666664,8.333333333333332,8.333333333333332,16.666666666666664,83.33333333333334,8.333333333333332,16.666666666666664,83.33333333333334,True,29.166666666666668,11.0,Worst Management Season
2025,Patty Primetimes,14,12.0,1645.8,1324.84,2.0,0.8571428571428571,117.55714285714284,3,1,1356.06,1549.06,193.0,13.79,25,87.54,12,12,2.452841403181365,29.434096838176377,2,0,2,0,1,3.0,-3.999309868875088,3.478260869565218,0.0,0.0,0.0,45.7,12.0,False,83.33333333333334,100.0,8.333333333333332,16.666666666666664,100.0,8.333333333333332,8.333333333333332,100.0,8.333333333333332,True,31.249999999999996,12.0,Worst Management Season
2024,ThreatLevelMidnight,14,9.0,1580.42,1561.76,5.0,0.6428571428571429,112.88714285714286,3,3,1621.18,1873.24,252.06,18.0,24,86.54,11,10,-8.48914509783393,-84.89145097833931,0,0,2,1,9,11.0,11.874738165060744,183.53878648233484,36.36363636363637,1.0,0.0,639.38,6.0,False,83.33333333333334,79.16666666666666,16.666666666666664,8.333333333333332,33.33333333333333,58.333333333333336,16.666666666666664,33.33333333333333,58.333333333333336,True,31.25,11.0,Worst Management Season
2025,Voldemort,14,6.0,1402.0,1497.1,8.0,0.4285714285714285,100.14285714285714,9,7,1378.66,1555.02,176.36,12.6,24,88.66,10,12,-7.187434348142283,-86.24921217770739,0,0,2,0,7,6.0,2.4264705882352966,50.94771241830067,0.0,0.0,0.0,217.82,10.0,False,33.33333333333333,41.66666666666667,25.0,33.33333333333333,50.0,25.0,25.0,50.0,25.0,True,31.25,11.0,Worst Management Season
2019,Joe Mantegna,13,4.0,1203.44,1362.56,9.0,0.3076923076923077,92.5723076923077,7,8,1203.44,1415.76,212.32,16.33,30,85.0,9,11,-1.6303042342555107,-17.933346576810617,1,0,2,0,7,7.0,-1.4112554112554108,89.81818181818181,42.857142857142854,0.0,28.57142857142857,287.98,11.0,False,50.0,29.166666666666668,33.33333333333333,33.33333333333333,50.0,16.666666666666664,33.33333333333333,50.0,16.666666666666664,True,33.33333333333333,11.0,Worst Management Season
2022,Patty Primetimes,14,3.0,1349.12,1494.0,11.0,0.2142857142857142,96.36571428571428,11,12,1349.12,1509.34,160.22,11.44,27,89.38,9,12,-9.858016373682418,-118.296196484189,1,0,5,3,12,4.0,16.75520715843296,82.9823670952703,75.0,0.0,0.0,279.1,6.0,False,16.666666666666664,8.333333333333332,33.33333333333333,58.333333333333336,8.333333333333332,58.333333333333336,33.33333333333333,8.333333333333332,58.333333333333336,True,33.33333333333333,11.0,Worst Management Season
2022,Joe Mantegna,14,8.0,1480.76,1435.44,6.0,0.5714285714285714,105.76857142857143,8,4,1480.76,1651.6,170.84,12.2,22,89.66,8,12,-8.279046719272392,-99.34856063126873,0,0,3,0,10,7.0,8.080999645515773,116.60421836228288,28.57142857142857,0.0,0.0,304.5,9.0,False,41.66666666666667,62.5,41.66666666666667,33.33333333333333,25.0,33.33333333333333,41.66666666666667,25.0,33.33333333333333,True,35.41666666666667,10.0,Worst Management Season
2021,Patty Primetimes,14,6.0,1462.18,1615.56,8.0,0.4285714285714285,104.44142857142856,9,8,1462.18,1620.2,158.02,11.29,24,90.25,8,12,-4.588771565602111,-55.06525878722533,1,0,3,1,9,10.0,5.84182631789015,107.44308587393697,20.0,0.0,0.0,308.00000000000006,10.0,False,33.33333333333333,41.66666666666667,41.66666666666667,50.0,33.33333333333333,25.0,41.66666666666667,33.33333333333333,25.0,True,35.41666666666667,11.0,Worst Management Season
2022,malle_dips_pouches,14,8.0,1657.12,1441.28,6.0,0.5714285714285714,118.36571428571428,2,4,1657.12,1863.84,206.72,14.77,29,88.91,11,12,14.020789310774958,168.2494717292995,2,1,1,0,1,2.0,-10.67307692307692,2.6923076923076934,0.0,0.0,0.0,51.18000000000001,11.0,True,91.66666666666666,62.5,16.666666666666664,16.666666666666664,100.0,16.666666666666664,16.666666666666664,100.0,16.666666666666664,True,37.49999999999999,9.0,Worst Management Season
2017,Malle ❤️ 🐸,13,3.0,1041.76,1340.68,10.0,0.2307692307692307,80.13538461538461,11,12,1041.76,1214.82,173.06,13.31,24,85.75,8,12,-4.092181746474446,-49.106180957693354,1,1,2,1,7,6.0,0.2991452991452998,47.34615384615385,16.666666666666664,0.0,0.0,74.4,11.0,False,16.666666666666664,8.333333333333332,41.66666666666667,58.333333333333336,50.0,16.666666666666664,41.66666666666667,50.0,16.666666666666664,True,37.5,10.0,Worst Management Season
2024,Voldemort,14,4.0,1507.64,1565.04,10.0,0.2857142857142857,107.68857142857144,7,11,1506.14,1740.2,234.06,16.72,27,86.55,10,12,1.742916972803594,20.915003673643128,3,1,1,0,3,4.0,-6.136904761904764,42.14285714285714,25.0,1.0,0.0,128.28,11.0,False,50.0,12.5,25.0,25.0,83.33333333333334,16.666666666666664,25.0,83.33333333333334,16.666666666666664,True,37.5,10.0,Worst Management Season
